lex	word	POS	род	падеж	число	вид	переходность	время	наклонение	лицо	форма прилагательных	залог	степень сравнения
быть	было	V	сред		ед	несов	нп	прош	изъяв				
совестно	совестно	ADV											
на	на	PR											
он	него	SPRO	муж	вин	ед					3-л			
глядеть	глядеть	V				несов	пе		инф				
сильвио	сильвио	S	муж	пр	мн								
быть	был	V	муж		ед	несов	нп	прош	изъяв				
слишком	слишком	ADV											
умный	умен	A	муж		ед						кр		
и	и	CONJ											
опытный	опытен	A	муж		ед						кр		
чтобы	чтобы	CONJ											
это	этого	SPRO	сред	род	ед								
не	не	PART											
замечать	заметить	V				сов	пе		инф				
и	и	CONJ											
не	не	PART											
угадывать	угадывать	V				несов	пе		инф				
то	тому	SPRO	сред	дат	ед								
причина	причины	S	жен	вин	мн								
казаться	казалось	V	сред		ед	несов	нп	прош	изъяв				
это	это	SPRO	сред	вин	ед								
огорчать	огорчало	V	сред		ед	несов	пе	прош	изъяв				
он	его	SPRO	муж	вин	ед					3-л			
по	по	PR											
крайний	крайней	A	жен	пр	ед						полн		
мера	мере	S	жен	пр	ед								
я	я	SPRO		им	ед					1-л			
замечать	заметил	V	муж		ед	сов	пе	прош	изъяв				
раз	раза	S	муж	род	ед								
два	два	NUM	муж	вин									
в	в	PR											
немой	нем	A	муж		ед						кр		
желание	желание	S	сред	вин	ед								
со	со	PR											
я	мною	SPRO		твор	ед					1-л			
объясняться	объясниться	V				сов	нп		инф				
но	но	CONJ											
я	я	SPRO		им	ед					1-л			
избегать	избегал	V	муж		ед	несов	нп	прош	изъяв				
такой	таких	APRO		пр	мн								
случай	случаев	S	муж	род	мн								
и	и	CONJ											
сильвио	сильвио	S	муж	пр	мн								
от	от	PR											
я	меня	SPRO		вин	ед					1-л			
отступаться	отступился	V	муж		ед	сов	нп	прош	изъяв				
с	с	PR											
тот	тех	APRO		пр	мн								
пора	пор	S	жен	род	мн								
видаться	видался	V	муж		ед	несов	нп	прош	изъяв				
я	я	SPRO		им	ед					1-л			
с	с	PR											
он	ним	SPRO	муж	твор	ед					3-л			
только	только	PART											
при	при	PR											
товарищ	товарищах	S	муж	пр	мн								
и	и	CONJ											
прежний	прежние	A		вин	мн						полн		
откровенный	откровенные	A		вин	мн						полн		
разговор	разговоры	S	муж	вин	мн								
наш	наши	APRO		им	мн								
прекращаться	прекратились	V			мн	сов	нп	прош	изъяв				
рассеянный	рассеянные	A		вин	мн						полн		
житель	жители	S	муж	им	мн								
столица	столицы	S	жен	вин	мн								
не	не	PART											
иметь	имеют	V			мн	несов	пе	непрош	изъяв	3-л			
понятие	понятия	S	сред	вин	мн								
о	о	PR											
многий	многих	APRO		пр	мн						полн		
впечатление	впечатлениях	S	сред	пр	мн								
столь	столь	ADVPRO											
известный	известных	A		пр	мн						полн		
житель	жителям	S	муж	дат	мн								
деревня	деревень	S	жен	род	мн								
или	или	CONJ											
городок	городков	S	муж	род	мн								
например	например	ADV											
об	об	PR											
ожидание	ожидании	S	сред	пр	ед								
почтовый	почтового	A	муж	вин	ед						полн		
день	дня	S	муж	род	ед								
во	во	PR											
вторник	вторник	S	муж	вин	ед								
и	и	CONJ											
пятница	пятницу	S	жен	вин	ед								
полковой	полковая	A	жен	им	ед						полн		
наш	наша	APRO	жен	им	ед								
канцелярия	канцелярия	S	жен	им	ед								
бывать	бывала	V	жен		ед	несов	нп	прош	изъяв				
полный	полна	A	жен		ед						кр		
офицер	офицерами	S	муж	твор	мн								
кто	кто	SPRO	муж	им	ед								
ждать	ждал	V	муж		ед	несов	пе	прош	изъяв				
деньги	денег	S		род	мн								
кто	кто	SPRO	муж	им	ед								
письмо	письма	S	сред	вин	мн								
кто	кто	SPRO	муж	им	ед								
газета	газет	S	жен	род	мн								
пакет	пакеты	S	муж	вин	мн								
обыкновенно	обыкновенно	ADV											
тут	тут	ADVPRO											
же	же	PART											
распечатываться	распечатывались	V			мн	несов	нп	прош	изъяв				
новость	новости	S	жен	пр	ед								
сообщаться	сообщались	V			мн	несов	нп	прош	изъяв				
и	и	CONJ											
канцелярия	канцелярия	S	жен	им	ед								
представлять	представляла	V	жен		ед	несов	пе	прош	изъяв				
картина	картину	S	жен	вин	ед								
самый	самую	APRO	жен	вин	ед								
оживлять	оживленную	V	жен	вин	ед	сов	пе	прош	прич		полн	страд	
сильвио	сильвио	S	муж	пр	мн								
получать	получал	V	муж		ед	несов	пе	прош	изъяв				
письмо	письма	S	сред	вин	мн								
адресовать	адресованные	V		вин	мн	несов	пе	прош	прич		полн	страд	
в	в	PR											
наш	наш	APRO	муж	вин	ед								
полк	полк	S	муж	вин	ед								
и	и	CONJ											
обыкновенно	обыкновенно	ADV											
тут	тут	ADVPRO											
же	же	PART											
находиться	находился	V	муж		ед	несов	нп	прош	изъяв				
однажды	однажды	ADV											
подавать	подали	V			мн	сов	пе	прош	изъяв				
он	ему	SPRO	муж	дат	ед					3-л			
пакет	пакет	S	муж	вин	ед								
с	с	PR											
который	которого	APRO	муж	вин	ед								
он	он	SPRO	муж	им	ед					3-л			
сорвать	сорвал	V	муж		ед	сов	пе	прош	изъяв				
печать	печать	S	жен	вин	ед								
с	с	PR											
вид	видом	S	муж	твор	ед								
великий	величайшего	A	муж	вин	ед						полн		прев
нетерпение	нетерпения	S	сред	вин	мн								
пробегать	пробегая	V				несов	нп	непрош	деепр				
письмо	письмо	S	сред	вин	ед								
глаз	глаза	S	муж	вин	мн								
его	его	APRO	жен	пр	мн								
сверкать	сверкали	V			мн	несов	нп	прош	изъяв				
офицер	офицеры	S	муж	им	мн								
каждый	каждый	APRO	муж	вин	ед								
занимать	занятый	V	муж	вин	ед	сов		прош	прич		полн	страд	
свой	своими	APRO		твор	мн								
письмо	письмами	S	сред	твор	мн								
ничто	ничего	SPRO	сред	род	ед								
не	не	PART											
замечать	заметили	V			мн	сов	пе	прош	изъяв				
господин	господа	S	муж	им	мн								
сказать	сказал	V	муж		ед	сов	пе	прош	изъяв				
они	им	SPRO		дат	мн								
сильвио	сильвио	S	муж	пр	мн								
обстоятельство	обстоятельства	S	сред	вин	мн								
требовать	требуют	V			мн	несов	пе	непрош	изъяв	3-л			
немедленный	немедленного	A	муж	вин	ед						полн		
мой	моего	APRO	муж	вин	ед								
отсутствие	отсутствия	S	сред	вин	мн								
еда	еду	S	жен	вин	ед								
сегодня	сегодня	ADV											
в	в	PR											
ночь	ночь	S	жен	вин	ед								
надеяться	надеюсь	V			ед	несов	нп	непрош	изъяв	1-л			
что	что	CONJ											
вы	вы	SPRO		им	мн					2-л			
не	не	PART											
отказываться	откажетесь	V			мн	сов	нп	непрош	изъяв	2-л			
отобедать	отобедать	V				сов	нп		инф				
у	у	PR											
я	меня	SPRO		вин	ед					1-л			
в	в	PR											
последний	последний	A	муж	вин	ед						полн		
раз	раз	S	муж	вин	ед								
я	я	SPRO		им	ед					1-л			
ждать	жду	V			ед	несов	пе	непрош	изъяв	1-л			
и	и	CONJ											
вы	вас	SPRO		пр	мн					2-л			
продолжать	продолжал	V	муж		ед	несов	пе	прош	изъяв				
он	он	SPRO	муж	им	ед					3-л			
обращаться	обратившись	V				сов	нп	прош	деепр				
ко	ко	PR											
я	мне	SPRO		пр	ед					1-л			
ждать	жду	V			ед	несов	пе	непрош	изъяв	1-л			
непременно	непременно	ADV											
с	с	PR											
сей	сим	APRO	муж	дат	мн								
слово	словом	S	сред	твор	ед								
он	он	SPRO	муж	им	ед					3-л			
поспешно	поспешно	ADV											
выходить	вышел	V	муж		ед	сов	нп	прош	изъяв				
а	а	CONJ											
мы	мы	SPRO		им	мн					1-л			
согласиться	согласясь	V				несов	нп	непрош	деепр				
соединяться	соединиться	V				сов	нп		инф				
у	у	PR											
сильвио	сильвио	S	муж	пр	мн								
расходиться	разошлись	V			мн	сов	нп	прош	изъяв				
каждый	каждый	APRO	муж	вин	ед								
в	в	PR											
свой	свою	APRO	жен	вин	ед								
сторона	сторону	S	жен	вин	ед								
я	я	SPRO		им	ед					1-л			
приходить	пришел	V	муж		ед	сов	нп	прош	изъяв				
к	к	PR											
сильвио	сильвио	S	муж	пр	мн								
в	в	PR											
назначать	назначенное	V	сред	вин	ед	сов	пе	прош	прич		полн	страд	
время	время	S	сред	вин	ед								
и	и	CONJ											
находить	нашел	V	муж		ед	сов	пе	прош	изъяв				
у	у	PR											
он	него	SPRO	муж	вин	ед					3-л			
почти	почти	ADV											
весь	весь	APRO	муж	вин	ед								
полк	полк	S	муж	вин	ед								
весь	все	APRO	сред	им	мн								
его	его	APRO	жен	пр	мн								
добро	добро	S	сред	вин	ед								
быть	было	V	сред		ед	несов	нп	прош	изъяв				
уже	уже	ADV											
укладывать	уложено	V	сред		ед	сов	пе	прош	прич		кр	страд	
оставаться	оставались	V			мн	несов	нп	прош	изъяв				
один	одни	APRO		им	мн								
голый	голые	A		вин	мн						полн		
прострелить	простреленные	V		вин	мн	сов	пе	прош	прич		полн	страд	
стена	стены	S	жен	вин	мн								
мы	мы	SPRO		им	мн					1-л			
садиться	сели	V			мн	сов	нп	прош	изъяв				
за	за	PR											
стол	стол	S	муж	вин	ед								
хозяин	хозяин	S	муж	им	ед								
быть	был	V	муж		ед	несов	нп	прош	изъяв				
чрезвычайно	чрезвычайно	ADV											
в	в	PR											
дух	духе	S	муж	пр	ед								
и	и	CONJ											
скоро	скоро	ADV											
веселость	веселость	S	жен	вин	ед								
его	его	APRO	жен	пр	мн								
соделаться	соделалась	V	жен		ед	сов	нп	прош	изъяв				
общий	общею	A	жен	твор	ед						полн		
пробка	пробки	S	жен	вин	мн								
хлопать	хлопали	V			мн	несов	пе	прош	изъяв				
поминутно	поминутно	ADV											
стакан	стаканы	S	муж	вин	мн								
пениться	пенились	V			мн	несов	нп	прош	изъяв				
и	и	CONJ											
шипеть	шипели	V			мн	несов	нп	прош	изъяв				
беспрестанный	беспрестанно	A	сред		ед						кр		
и	и	CONJ											
мы	мы	SPRO		им	мн					1-л			
со	со	PR											
всевозможный	всевозможным	A	муж	дат	мн						полн		
усердие	усердием	S	сред	твор	ед								
желать	желали	V			мн	несов	пе	прош	изъяв				
отъезжающий	отъезжающему	S	муж	дат	ед								
добрый	доброго	A	муж	вин	ед						полн		
путь	пути	S	муж	пр	ед								
и	и	CONJ											
всякий	всякого	APRO	муж	вин	ед						полн		
благо	блага	S	сред	вин	мн								
вставать	встали	V			мн	сов	нп	прош	изъяв				
из-за	из-за	PR											
стол	стола	S	муж	род	ед								
уже	уже	ADV											
поздно	поздно	ADV											
вечер	вечером	S	муж	твор	ед								
при	при	PR											
разбор	разборе	S	муж	пр	ед								
фуражка	фуражек	S	жен	род	мн								
сильвио	сильвио	S	муж	пр	мн								
со	со	PR											
все	всеми	SPRO		твор	мн								
прощаться	прощаясь	V				несов	нп	непрош	деепр				
взять	взял	V	муж		ед	сов	пе	прош	изъяв				
я	меня	SPRO		вин	ед					1-л			
за	за	PR											
рука	руку	S	жен	вин	ед								
и	и	CONJ											
останавливать	остановил	V	муж		ед	сов	пе	прош	изъяв				
в	в	PR											
тот	ту	APRO	жен	вин	ед								
самый	самую	APRO	жен	вин	ед								
минута	минуту	S	жен	вин	ед								
как	как	CONJ											
собираться	собирался	V	муж		ед	несов	нп	прош	изъяв				
я	я	SPRO		им	ед					1-л			
выходить	выйти	V				сов	нп		инф				
я	мне	SPRO		пр	ед					1-л			
нужно	нужно	ADV											
с	с	PR											
вы	вами	SPRO		твор	мн					2-л			
поговорить	поговорить	V				сов	нп		инф				
сказать	сказал	V	муж		ед	сов	пе	прош	изъяв				
он	он	SPRO	муж	им	ед					3-л			
тихо	тихо	ADV											
я	я	SPRO		им	ед					1-л			
оставаться	остался	V	муж		ед	сов	нп	прош	изъяв				
гость	гости	S	муж	им	мн								
уходить	ушли	V			мн	сов	нп	прош	изъяв				
мы	мы	SPRO		им	мн					1-л			
оставаться	остались	V			мн	сов	нп	прош	изъяв				
вдвоем	вдвоем	ADV											
садиться	сели	V			мн	сов	нп	прош	изъяв				
друг	друг	S	муж	им	ед								
против	противу	S	муж	дат	ед								
друг	друга	S	муж	вин	ед								
и	и	CONJ											
молча	молча	ADV											
закуривать	закурили	V			мн	сов	пе	прош	изъяв				
трубка	трубки	S	жен	вин	мн								
сильвио	сильвио	S	муж	пр	мн								
быть	был	V	муж		ед	несов	нп	прош	изъяв				
озабоченный	озабочен	A	муж		ед						кр		
не	не	PART											
быть	было	V	сред		ед	несов	нп	прош	изъяв				
уже	уже	ADV											
и	и	CONJ											
след	следов	S	муж	род	мн								
его	его	APRO	жен	пр	мн								
судорожный	судорожной	A	жен	пр	ед						полн		
веселость	веселости	S	жен	пр	ед								
мрачный	мрачная	A	жен	им	ед						полн		
бледность	бледность	S	жен	вин	ед								
сверкать	сверкающие	V		им	мн	несов	нп	непрош	прич		полн	действ	
глаз	глаза	S	муж	вин	мн								
и	и	CONJ											
густой	густой	A	муж	вин	ед						полн		
дым	дым	S	муж	вин	ед								
выходить	выходящий	V	муж	вин	ед	несов	нп	непрош	прич		полн	действ	
изо	изо	PR											
рот	рту	S	муж	дат	ед								
придавать	придавали	V			мн	несов	пе	прош	изъяв				
он	ему	SPRO	муж	дат	ед					3-л			
вид	вид	S	муж	вин	ед								
настоящий	настоящего	A	муж	вин	ед						полн		
дьявол	дьявола	S	муж	вин	ед								
проходить	прошло	V	сред		ед	сов	нп	прош	изъяв				
несколько	несколько	NUM		им									
минута	минут	S	жен	род	мн								
и	и	CONJ											
сильвио	сильвио	S	муж	пр	мн								
прерывать	прервал	V	муж		ед	сов	пе	прош	изъяв				
молчание	молчание	S	сред	вин	ед								
мочь	может	V			ед	несов	нп	непрош	изъяв	3-л			
быть	быть	V				несов	нп		инф				
мы	мы	SPRO		им	мн					1-л			
никогда	никогда	ADVPRO											
больше	больше	ADV											
не	не	PART											
увидеться	увидимся	V			мн	сов	нп	непрош	изъяв	1-л			
сказать	сказал	V	муж		ед	сов	пе	прош	изъяв				
он	он	SPRO	муж	им	ед					3-л			
я	мне	SPRO		пр	ед					1-л			
перед	перед	PR											
разлука	разлукой	S	жен	твор	ед								
я	я	SPRO		им	ед					1-л			
хотеть	хотел	V	муж		ед	несов	пе	прош	изъяв				
с	с	PR											
вы	вами	SPRO		твор	мн					2-л			
объясняться	объясниться	V				сов	нп		инф				
вы	вы	SPRO		им	мн					2-л			
мочь	могли	V			мн	несов	нп	прош	изъяв				
замечать	заметить	V				сов	пе		инф				
что	что	CONJ											
я	я	SPRO		им	ед					1-л			
мало	мало	ADV											
уважать	уважаю	V			ед	несов	пе	непрош	изъяв	1-л			
посторонний	постороннее	A	сред	вин	ед						полн		
мнение	мнение	S	сред	вин	ед								
но	но	CONJ											
я	я	SPRO		им	ед					1-л			
вы	вас	SPRO		пр	мн					2-л			
любить	люблю	V			ед	несов	пе	непрош	изъяв	1-л			
и	и	CONJ											
чувствовать	чувствую	V			ед	несов	пе	непрош	изъяв	1-л			
я	мне	SPRO		пр	ед					1-л			
быть	было	V	сред		ед	несов	нп	прош	изъяв				
бы	бы	PART											
тягостно	тягостно	ADV											
оставлять	оставить	V				сов	пе		инф				
в	в	PR											
ваш	вашем	APRO	муж	пр	ед								
ум	уме	S	муж	пр	ед								
несправедливый	несправедливое	A	сред	вин	ед						полн		
впечатление	впечатление	S	сред	вин	ед								
он	он	SPRO	муж	им	ед					3-л			
останавливаться	остановился	V	муж		ед	сов	нп	прош	изъяв				
и	и	CONJ											
становиться	стал	V	муж		ед	сов	нп	прош	изъяв				
набивать	набивать	V				несов	пе		инф				
выгорать	выгоревшую	V	жен	вин	ед	сов	нп	прош	прич		полн	действ	
свой	свою	APRO	жен	вин	ед								
трубка	трубку	S	жен	вин	ед								
я	я	SPRO		им	ед					1-л			
молчать	молчал	V	муж		ед	несов	нп	прош	изъяв				
потупя	потупя	ADV											
глаз	глаза	S	муж	вин	мн								
вы	вам	SPRO		дат	мн					2-л			
быть	было	V	сред		ед	несов	нп	прош	изъяв				
странно	странно	ADV											
продолжать	продолжал	V	муж		ед	несов	пе	прош	изъяв				
он	он	SPRO	муж	им	ед					3-л			
что	что	CONJ											
я	я	SPRO		им	ед					1-л			
не	не	PART											
требовать	требовал	V	муж		ед	несов	пе	прош	изъяв				
удовлетворение	удовлетворения	S	сред	вин	мн								
от	от	PR											
этот	этого	APRO	муж	вин	ед								
пьяный	пьяного	A	муж	вин	ед						полн		
сумасброд	сумасброда	S	муж	вин	ед								
р	р	S		пр	мн								
вы	вы	SPRO		им	мн					2-л			
соглашаться	согласитесь	V			мн	сов	нп	непрош	изъяв	2-л			
что	что	CONJ											
иметь	имея	V				несов	пе	непрош	деепр				
право	право	S	сред	вин	ед								
выбирать	выбрать	V				сов			инф				
оружие	оружие	S	сред	вин	ед								
жизнь	жизнь	S	жен	вин	ед								
его	его	APRO	жен	пр	мн								
быть	была	V	жен		ед	несов	нп	прош	изъяв				
в	в	PR											
мой	моих	APRO		пр	мн								
рука	руках	S	жен	пр	мн								
а	а	CONJ											
мой	моя	APRO	жен	им	ед								
почти	почти	ADV											
безопасный	безопасна	A	жен		ед						кр		
я	я	SPRO		им	ед					1-л			
мочь	мог	V	муж		ед	несов	нп	прош	изъяв				
бы	бы	PART											
приписывать	приписать	V				сов	пе		инф				
умеренность	умеренность	S	жен	вин	ед								
один	одному	APRO	муж	дат	ед								
мой	моему	APRO	муж	дат	ед								
великодушие	великодушию	S	сред	дат	ед								
но	но	CONJ											
не	не	PART											
хотеть	хочу	V			ед	несов	пе	непрош	изъяв	1-л			
лгать	лгать	V				несов	нп		инф				
если	если	CONJ											
б	б	PART											
я	я	SPRO		им	ед					1-л			
мочь	мог	V	муж		ед	несов	нп	прош	изъяв				
наказывать	наказать	V				сов			инф				
р	р	S		пр	мн								
не	не	PART											
подвергать	подвергая	V				несов	пе	непрош	деепр				
вовсе	вовсе	ADV											
мой	моей	APRO	жен	пр	ед								
жизнь	жизни	S	жен	пр	ед								
то	то	CONJ											
я	я	SPRO		им	ед					1-л			
б	б	PART											
ни	ни	PART											
за	за	PR											
что	что	SPRO	сред	вин	ед								
не	не	PART											
прощать	простил	V	муж		ед	сов		прош	изъяв				
он	его	SPRO	муж	вин	ед					3-л			
я	я	SPRO		им	ед					1-л			
смотреть	смотрел	V	муж		ед	несов	пе	прош	изъяв				
на	на	PR											
сильвио	сильвио	S	муж	пр	мн								
с	с	PR											
изумление	изумлением	S	сред	твор	ед								
таковой	таковое	APRO	сред	вин	ед								
признание	признание	S	сред	вин	ед								
совершенно	совершенно	ADV											
смущать	смутило	V	сред		ед	сов	пе	прош	изъяв				
я	меня	SPRO		вин	ед					1-л			
сильвио	сильвио	S	муж	пр	мн								
продолжать	продолжал	V	муж		ед	несов	пе	прош	изъяв				
так	так	ADVPRO											
точно	точно	ADV											
я	я	SPRO		им	ед					1-л			
не	не	PART											
иметь	имею	V			ед	несов	пе	непрош	изъяв	1-л			
право	права	S	сред	вин	мн								
подвергать	подвергать	V				несов	пе		инф				
себя	себя	SPRO		вин									
смерть	смерти	S	жен	пр	ед								
шесть	шесть	NUM		вин									
год	лет	S	муж	род	мн								
то	тому	SPRO	сред	дат	ед								
назад	назад	ADV											
я	я	SPRO		им	ед					1-л			
получать	получил	V	муж		ед	сов	пе	прош	изъяв				
пощечина	пощечину	S	жен	вин	ед								
и	и	CONJ											
враг	враг	S	муж	им	ед								
мой	мой	APRO	муж	вин	ед								
еще	еще	ADV											
живой	жив	A	муж		ед						кр		
любопытство	любопытство	S	сред	вин	ед								
мой	мое	APRO	сред	вин	ед								
сильно	сильно	ADV											
быть	было	V	сред		ед	несов	нп	прош	изъяв				
возбуждать	возбуждено	V	сред		ед	сов	пе	прош	прич		кр	страд	
вы	вы	SPRO		им	мн					2-л			
с	с	PR											
он	ним	SPRO	муж	твор	ед					3-л			
не	не	PART											
драться	дрались	V			мн	несов	нп	прош	изъяв				
спрашивать	спросил	V	муж		ед	сов		прош	изъяв				
я	я	SPRO		им	ед					1-л			
обстоятельство	обстоятельства	S	сред	вин	мн								
верно	верно	ADV											
вы	вас	SPRO		пр	мн					2-л			
разлучать	разлучили	V			мн	сов	пе	прош	изъяв				
я	я	SPRO		им	ед					1-л			
с	с	PR											
он	ним	SPRO	муж	твор	ед					3-л			
драться	дрался	V	муж		ед	несов	нп	прош	изъяв				
отвечать	отвечал	V	муж		ед	несов	нп	прош	изъяв				
сильвио	сильвио	S	муж	пр	мн								
и	и	CONJ											
вот	вот	PART											
памятник	памятник	S	муж	вин	ед								
наш	нашего	APRO	муж	вин	ед								
поединок	поединка	S	муж	род	ед								
сильвио	сильвио	S	муж	пр	мн								
вставать	встал	V	муж		ед	сов	нп	прош	изъяв				
и	и	CONJ											
вынимать	вынул	V	муж		ед	сов	пе	прош	изъяв				
из	из	PR											
картон	картона	S	муж	род	ед								
красный	красную	A	жен	вин	ед						полн		
шапка	шапку	S	жен	вин	ед								
с	с	PR											
золотой	золотою	A	жен	твор	ед						полн		
кисть	кистью	S	жен	твор	ед								
с	с	PR											
галун	галуном	S	муж	твор	ед								
то	то	PART											
что	что	CONJ											
француз	французы	S	муж	им	мн								
называть	называют	V			мн	несов	пе	непрош	изъяв	3-л			
в	в	PR											
полицейский	полицейской	A	жен	пр	ед						полн		
шапка	шапке	S	жен	пр	ед								
он	он	SPRO	муж	им	ед					3-л			
она	ее	SPRO	жен	вин	ед					3-л			
надевать	надел	V	муж		ед	сов	пе	прош	изъяв				
она	она	SPRO	жен	им	ед					3-л			
быть	была	V	жен		ед	несов	нп	прош	изъяв				
прострелить	прострелена	V	жен		ед	сов	пе	прош	прич		кр	страд	
на	на	PR											
вершок	вершок	S	муж	вин	ед								
ото	ото	PR											
лоб	лба	S	муж	род	ед								
вы	вы	SPRO		им	мн					2-л			
знать	знаете	V			мн	несов	пе	непрош	изъяв	2-л			
продолжать	продолжал	V	муж		ед	несов	пе	прош	изъяв				
сильвио	сильвио	S	муж	пр	мн								
что	что	CONJ											
я	я	SPRO		им	ед					1-л			
служить	служил	V	муж		ед	несов	пе	прош	изъяв				
в	в	PR											
гусарский	гусарском	A	муж	пр	ед						полн		
полк	полку	S	муж	дат	ед								
характер	характер	S	муж	вин	ед								
мой	мой	APRO	муж	вин	ед								
вы	вам	SPRO		дат	мн					2-л			
известный	известен	A	муж		ед						кр		
я	я	SPRO		им	ед					1-л			
привыкать	привык	V	муж		ед	сов	нп	прош	изъяв				
первенствовать	первенствовать	V				несов	нп		инф				
но	но	CONJ											
смолоду	смолоду	ADV											
это	это	SPRO	сред	вин	ед								
быть	было	V	сред		ед	несов	нп	прош	изъяв				
во	во	PR											
я	мне	SPRO		пр	ед					1-л			
страстие	страстию	S	сред	дат	ед								
в	в	PR											
наш	наше	APRO	сред	вин	ед								
время	время	S	сред	вин	ед								
буйство	буйство	S	сред	вин	ед								
быть	было	V	сред		ед	несов	нп	прош	изъяв				
в	в	PR											
мода	моде	S	жен	пр	ед								
я	я	SPRO		им	ед					1-л			
быть	был	V	муж		ед	несов	нп	прош	изъяв				
первый	первым	ANUM	муж	дат	мн								
буян	буяном	S	муж	твор	ед								
по	по	PR											
армия	армии	S	жен	пр	ед								
мы	мы	SPRO		им	мн					1-л			
хвастаться	хвастались	V			мн	несов	нп	прош	изъяв				
пьянство	пьянством	S	сред	твор	ед								
я	я	SPRO		им	ед					1-л			
перепивать	перепил	V	муж		ед	сов	пе	прош	изъяв				
славный	славного	A	муж	вин	ед						полн		
бурцов	бурцова	S	муж	вин	ед								
воспевать	воспетого	V	муж	вин	ед	сов	пе	прош	прич		полн	страд	
денис	денисом	S	муж	твор	ед								
давыдов	давыдовым	S	муж	дат	мн								
дуэль	дуэли	S	жен	пр	ед								
в	в	PR											
наш	нашем	APRO	муж	пр	ед								
полк	полку	S	муж	дат	ед								
случаться	случались	V			мн	несов	нп	прош	изъяв				
поминутно	поминутно	ADV											
я	я	SPRO		им	ед					1-л			
на	на	PR											
все	всех	SPRO		пр	мн								
бывать	бывал	V	муж		ед	несов	нп	прош	изъяв				
или	или	CONJ											
свидетель	свидетелем	S	муж	твор	ед								
или	или	CONJ											
действующий	действующим	A	муж	дат	мн						полн		
лицо	лицом	S	сред	твор	ед								
товарищ	товарищи	S	муж	им	мн								
я	меня	SPRO		вин	ед					1-л			
обожать	обожали	V			мн	несов	пе	прош	изъяв				
а	а	CONJ											
полковой	полковые	A		вин	мн						полн		
командир	командиры	S	муж	им	мн								
поминутно	поминутно	ADV											
сменять	сменяемые	V		вин	мн	несов	пе	непрош	прич		полн	страд	
смотреть	смотрели	V			мн	несов	пе	прош	изъяв				
на	на	PR											
я	меня	SPRO		вин	ед					1-л			
как	как	CONJ											
на	на	PR											
необходимый	необходимое	A	сред	вин	ед						полн		
зло	зло	S	сред	вин	ед								
я	я	SPRO		им	ед					1-л			
спокойно	спокойно	ADV											
или	или	CONJ											
беспокойно	беспокойно	ADV											
наслаждаться	наслаждался	V	муж		ед	несов	нп	прош	изъяв				
мой	моею	APRO	жен	твор	ед								
слава	славою	S	жен	твор	ед								
как	как	CONJ											
определяться	определился	V	муж		ед	сов	нп	прош	изъяв				
к	к	PR											
мы	нам	SPRO		дат	мн					1-л			
молодой	молодой	A	муж	вин	ед						полн		
человек	человек	S	муж	вин	мн								
богатый	богатой	A	жен	пр	ед						полн		
и	и	CONJ											
знатный	знатной	A	жен	пр	ед						полн		
фамилия	фамилии	S	жен	пр	ед								
не	не	PART											
хотеть	хочу	V			ед	несов	пе	непрош	изъяв	1-л			
называть	назвать	V				сов	пе		инф				
он	его	SPRO	муж	вин	ед					3-л			
отроду	отроду	ADV											
не	нe	PART											
встречать	встречал	V	муж		ед	несов	пе	прош	изъяв				
счастливец	счастливца	S	муж	вин	ед								
столь	столь	ADVPRO											
блистательный	блистательного	A	муж	вин	ед						полн		
воображать	вообразите	V			мн	сов		непрош	изъяв	2-л			
себе	себе	PART											
молодость	молодость	S	жен	вин	ед								
ум	ум	S	муж	вин	ед								
красота	красоту	S	жен	вин	ед								
веселость	веселость	S	жен	вин	ед								
самый	самую	APRO	жен	вин	ед								
бешеный	бешеную	A	жен	вин	ед						полн		
храбрость	храбрость	S	жен	вин	ед								
самый	самую	APRO	жен	вин	ед								
беспечный	беспечную	A	жен	вин	ед						полн		
громкий	громкое	A	сред	вин	ед						полн		
имя	имя	S	сред	вин	ед								
деньги	деньги	S		вин	мн								
который	которым	APRO	муж	дат	мн								
не	не	PART											
знать	знал	V	муж		ед	несов	пе	прош	изъяв				
он	он	SPRO	муж	им	ед					3-л			
счет	счета	S	муж	вин	мн								
и	и	CONJ											
который	которые	APRO		им	мн								
никогда	никогда	ADVPRO											
у	у	PR											
он	него	SPRO	муж	вин	ед					3-л			
не	не	PART											
переводиться	переводились	V			мн	несов	нп	прош	изъяв				
и	и	CONJ											
представлять	представьте	V			мн	сов	пе		пов	2-л			
себя	себе	SPRO		пр									
какой	какое	APRO	сред	вин	ед								
действие	действие	S	сред	вин	ед								
должный	должен	A	муж		ед						кр		
быть	был	V	муж		ед	несов	нп	прош	изъяв				
он	он	SPRO	муж	им	ед					3-л			
производить	произвести	V				сов			инф				
между	между	PR											
мы	нами	SPRO		твор	мн					1-л			
первенство	первенство	S	сред	вин	ед								
мой	мое	APRO	сред	вин	ед								
поколебаться	поколебалось	V	сред		ед	сов	нп	прош	изъяв				
обольщать	обольщенный	V	муж	вин	ед	сов	пе	прош	прич		полн	страд	
мой	моею	APRO	жен	твор	ед								
слава	славою	S	жен	твор	ед								
он	он	SPRO	муж	им	ед					3-л			
становиться	стал	V	муж		ед	сов	нп	прош	изъяв				
было	было	PART											
искать	искать	V				несов	пе		инф				
мой	моего	APRO	муж	вин	ед								
дружество	дружества	S	сред	вин	мн								
но	но	CONJ											
я	я	SPRO		им	ед					1-л			
